Image Tag,Num Patches,Patches List
SonarSource-sonar-php-80796552,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-81370545,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-81370431,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-81421537,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-81036476,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-86175684,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-86361008,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-87447612,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
raphw-byte-buddy-122552467,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-124133318,5,"['Insecure Link', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-114772248,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-146257715,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-134153786,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-134153784,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-122614664,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-142690271,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-140517159,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-147989186,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-148052193,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-149688523,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-146248651,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-142690270,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-149441998,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-154415908,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-148275736,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-156948936,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-161164033,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-163617933,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-169775349,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-160374689,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-168135150,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-164879535,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-165463883,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-169775350,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-165510016,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-165463882,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-165463886,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-163622115,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-185233250,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-169775346,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-164879536,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-171820204,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187808246,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-185441654,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-172684816,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188079236,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188079239,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-169775347,3,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187512653,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-185441655,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187808250,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187606480,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-171820197,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-174535092,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187808247,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-186958650,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-186958648,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-186958641,4,"['Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188138082,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188079237,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188138085,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187697346,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188138083,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-188138086,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-189579637,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-190259700,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-189190152,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187606484,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-187697343,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-189579642,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-189190146,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-191630568,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-202917181,6,"['Insecure Link', 'Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-200856115,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-192022819,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-203568409,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-203568410,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-192784807,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-193397160,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-195567363,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-202917184,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-199726251,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-220223727,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-199726250,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-199726254,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-192784812,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-232105016,4,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-195567392,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
raphw-byte-buddy-204384585,5,"['Unavailable Gradle Plugin', 'Unavailable JDK Version', 'Maven TLS Failure', 'Unavailable PPAs', 'Unavailable Ubuntu Release']"
SonarSource-sonar-xml-114472551,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
ProjectKorra-ProjectKorra-165108371,2,"['Insecure Link', 'Maven TLS Failure']"
SonarSource-sonar-xml-90131038,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
ImmobilienScout24-deadcode4j-131735009,3,"['Insecure Link', 'Insecure Link', 'Maven TLS Failure']"
Whiley-WhileyCompiler-118883390,1,['Maven TLS Failure']
ImmobilienScout24-deadcode4j-110208143,1,['Maven TLS Failure']
ProjectKorra-ProjectKorra-165108370,2,"['Insecure Link', 'Maven TLS Failure']"
terasolunaorg-terasoluna-tourreservation-192325631,1,['Maven TLS Failure']
terasolunaorg-terasoluna-tourreservation-192325987,1,['Maven TLS Failure']
terasolunaorg-terasoluna-tourreservation-100973622,1,['Maven TLS Failure']
terasolunaorg-terasoluna-tourreservation-200258903,1,['Maven TLS Failure']
terasolunaorg-terasoluna-tourreservation-100973627,1,['Maven TLS Failure']
joel-costigliola-assertj-core-209468547,2,"['Insecure Link', 'Unavailable JDK Version']"
joel-costigliola-assertj-core-95115205,2,"['Insecure Link', 'Unavailable JDK Version']"
Backendless-Android-SDK-141628334,1,['Unavailable PPAs']
Backendless-Android-SDK-116420588,1,['Unavailable PPAs']
Backendless-Android-SDK-151437488,1,['Unavailable PPAs']
Backendless-Android-SDK-166371234,1,['Unavailable PPAs']
Backendless-Android-SDK-166667426,1,['Unavailable PPAs']
Bammerbom-UltimateCore-148568656,1,['Maven TLS Failure']
Bammerbom-UltimateCore-150100770,1,['Maven TLS Failure']
Bammerbom-UltimateCore-154879660,2,"['Maven TLS Failure', 'Unavailable PPAs']"
Bammerbom-UltimateCore-187748496,1,['Maven TLS Failure']
google-auto-211506706,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
rinde-RinSim-45948364,1,['Maven TLS Failure']
rinde-RinSim-45948366,1,['Maven TLS Failure']
rinde-RinSim-46090919,1,['Maven TLS Failure']
rinde-RinSim-45970006,1,['Maven TLS Failure']
rinde-RinSim-46165516,1,['Maven TLS Failure']
rinde-RinSim-46090918,1,['Maven TLS Failure']
google-auto-101506035,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-101506036,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-185599482,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-101506038,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-185599481,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-211506705,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-101506039,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
google-auto-266975428,2,"['Maven TLS Failure', 'Unavailable PPAs']"
rinde-RinSim-45948365,1,['Maven TLS Failure']
rinde-RinSim-46090917,1,['Maven TLS Failure']
rinde-RinSim-45970005,1,['Maven TLS Failure']
rinde-RinSim-45970007,1,['Maven TLS Failure']
rinde-RinSim-46165518,1,['Maven TLS Failure']
rinde-RinSim-50180605,1,['Maven TLS Failure']
rinde-RinSim-46165517,1,['Maven TLS Failure']
rinde-RinSim-50180604,1,['Maven TLS Failure']
rinde-RinSim-50173142,1,['Maven TLS Failure']
rinde-RinSim-50180606,1,['Maven TLS Failure']
rinde-RinSim-50173141,1,['Maven TLS Failure']
rinde-RinSim-50173140,1,['Maven TLS Failure']
joyent-java-manta-94046711,1,['Maven TLS Failure']
junkdog-artemis-odb-71156925,3,"['Insecure Link', 'Insecure Link', 'Maven TLS Failure']"
junkdog-artemis-odb-71816517,2,"['Insecure Link', 'Insecure Link']"
junkdog-artemis-odb-73732150,2,"['Insecure Link', 'Insecure Link']"
junkdog-artemis-odb-74138980,2,"['Insecure Link', 'Insecure Link']"
junkdog-artemis-odb-74488108,2,"['Insecure Link', 'Insecure Link']"
junkdog-artemis-odb-75144750,2,"['Insecure Link', 'Insecure Link']"
